#{"t_start": 1684518120.9805593, "env_id": "FinancialEconomicEnv-v0"}
r,l,t
215745.661072,7797,51905.178193
215327.948689,7797,51955.35912
215492.786047,7797,52005.553179
214860.714806,7797,52055.678216
215570.758702,7797,52105.784636
215162.050366,7797,52155.932194
215283.572724,7797,52206.158423
216029.429822,7797,52257.598024
215643.340925,7797,52317.507415
215146.240801,7797,52370.361043
215322.75605,7797,52421.015835
215819.444406,7797,52471.627751
215656.25259,7797,52525.534071
215625.962991,7797,52576.822251
215329.413611,7797,52629.221459
215567.717801,7797,52680.250448
215841.455962,7797,52737.979027
214886.230066,7797,52791.537933
215406.797503,7797,52843.859992
215456.016151,7797,52894.937539
215513.026314,7797,52944.951554
215903.144476,7797,52994.702317
215502.288271,7797,53044.433716
215454.871104,7797,53094.248406
215680.374095,7797,53144.322507
215676.664364,7797,53194.168841
215693.825535,7797,53243.863981
215243.198949,7797,53293.647158
216383.327868,7797,53343.397408
215906.333167,7797,53393.162032
215215.15581,7797,53442.742295
215353.3402,7797,53505.948741
215525.327138,7797,53573.560748
215214.966093,7797,53638.802022
215808.810694,7797,53703.449586
215677.042706,7797,53767.733918
215139.719885,7797,53832.060322
215618.954211,7797,53895.363389
215241.338206,7797,53959.586794
215554.822913,7797,54023.859963
215651.819524,7797,54088.355024
215107.193589,7797,54155.054739
215618.956903,7797,54229.791324
215550.911317,7797,54303.310009
215638.480442,7797,54373.211439
215799.203694,7797,54440.132536
215345.570401,7797,54503.649553
215592.602762,7797,54567.171316
215553.11661,7797,54630.483401
215919.758693,7797,54693.400566
215351.791301,7797,54755.51245
215572.196241,7797,54816.441407
215706.019266,7797,54879.829114
215857.293275,7797,54943.258088
215411.200699,7797,55006.58713
215605.423752,7797,55067.864151
215925.012861,7797,55129.076735
215689.438554,7797,55190.17361
214999.041259,7797,55251.672289
215818.716745,7797,55312.997669
215353.748417,7797,55373.878284
215388.893938,7797,55435.009283
215390.656543,7797,55496.48553
215151.313274,7797,55558.267611
215388.189601,7797,55619.79221
215832.763327,7797,55681.063328
215428.351828,7797,55741.89421
215616.158158,7797,55803.130614
215811.8808,7797,55864.536766
215183.996727,7797,55925.687859
215492.109879,7797,55986.941523
215476.477467,7797,56048.458064
215226.498418,7797,56112.22572
215351.009834,7797,56173.96552
215390.196579,7797,56234.906161
215374.837672,7797,56296.544968
215817.140438,7797,56359.483773
215294.487319,7797,56420.583577
215393.989635,7797,56484.028696
215326.037752,7797,56548.356214
215509.963779,7797,56610.474292
215741.107639,7797,56672.476813
215580.236392,7797,56733.939137
215049.99313,7797,56799.114246
215691.444475,7797,56860.576291
215743.790459,7797,56920.34801
215186.921142,7797,56980.028092
215713.100143,7797,57045.596905
215443.602805,7797,57109.765358
215645.558713,7797,57173.360468
215572.215867,7797,57238.312709
215360.736761,7797,57301.897642
215501.845466,7797,57365.561025
215353.007884,7797,57429.212753
215636.461474,7797,57491.585756
215553.920114,7797,57554.564148
215695.145716,7797,57618.157914
215437.165703,7797,57683.190628
215941.908217,7797,57747.016532
215782.389696,7797,57807.739631
215758.336809,7797,57872.534781
215620.856566,7797,57939.891917
216261.771478,7797,58005.828322
215163.734507,7797,58073.610413
215403.282092,7797,58144.821995
215217.818568,7797,58220.477837
215980.165319,7797,58290.494823
214652.280546,7797,58361.659463
215236.087995,7797,58442.237629
215619.35018,7797,58514.186063
216564.767798,7797,58591.782396
215305.403687,7797,58664.582435
215147.153569,7797,58732.278636
215116.324748,7797,58802.999055
215487.452567,7797,58869.402573
215383.348685,7797,58934.648737
